"Case","Buggy Rule","Ncf","Nuf","Ncs","Nus","Nc","Nu","Ns","Nf","Mountford","Kulcynski2","Zoltar","Ochiai","CC","RC","RCR","Constraint","Rule","Mutant"
"23","1","29.0","0.0","71.0","0.0","29.0","0.0","71.0","29.0","0.028169014084507043","0.645","0.29","0.5385164807134504","0.2857142857142857","0.4","0.2","8","Package","Mutant15"
"23","0","4.0","25.0","0.0","71.0","4.0","25.0","71.0","29.0","0.08","0.5689655172413793","0.13793103448275862","0.3713906763541037","0.6071428571428571","0.5666666666666667","0.40476190476190477","8","StrongReferences","Mutant15"
"24","0","3.0","26.0","0.0","71.0","3.0","26.0","71.0","29.0","0.07692307692307693","0.5517241379310345","0.10344827586206896","0.3216337604513384","0.8461538461538461","0.7333333333333333","0.6470588235294118","9","WeakReferences","Mutant15"
"24","1","13.0","16.0","0.0","71.0","13.0","16.0","71.0","29.0","0.125","0.7241379310344828","0.4482758620689655","0.6695340634119862","0.6923076923076923","0.6923076923076923","0.5","9","Attributes","Mutant15"
"24","0","29.0","0.0","0.0","71.0","29.0","0.0","71.0","29.0","1.0","1.0","1.0","1.0","0.46153846153846156","0.6","0.35294117647058826","9","Class","Mutant15"
"24","1","29.0","0.0","71.0","0.0","29.0","0.0","71.0","29.0","0.028169014084507043","0.645","0.29","0.5385164807134504","0.3076923076923077","0.4","0.21052631578947367","9","Package","Mutant15"
"24","0","4.0","25.0","0.0","71.0","4.0","25.0","71.0","29.0","0.08","0.5689655172413793","0.13793103448275862","0.3713906763541037","0.8461538461538461","0.7333333333333333","0.5789473684210527","9","StrongReferences","Mutant15"
"25","1","4.0","0.0","0.0","96.0","4.0","0.0","96.0","4.0","1.0","1.0","1.0","1.0","0.8461538461538461","0.7333333333333333","0.5789473684210527","10","WeakReferences","Mutant16"
"25","0","4.0","0.0","9.0","87.0","4.0","0.0","96.0","4.0","0.2222222222222222","0.6538461538461539","0.3076923076923077","0.5547001962252291","0.6923076923076923","0.6923076923076923","0.5","10","Attributes","Mutant16"
"25","0","4.0","0.0","25.0","71.0","4.0","0.0","96.0","4.0","0.08","0.5689655172413793","0.13793103448275862","0.3713906763541037","0.46153846153846156","0.6","0.35294117647058826","10","Class","Mutant16"
"25","0","4.0","0.0","96.0","0.0","4.0","0.0","96.0","4.0","0.020833333333333332","0.52","0.04","0.2","0.3076923076923077","0.4","0.21052631578947367","10","Package","Mutant16"
